Region,Year,Month,Report_Year_Month,Volume,Open_Interest
Asia,2008,8,2008-8,432359619,27428956
Europe,2008,8,2008-8,265106018,286839698
"Latin America",2008,8,2008-8,69922110,73979114
"North America",2008,8,2008-8,502676132,403748870
Other,2008,8,2008-8,26744548,55440157
Asia,2008,9,2008-9,526427753,26412378
Europe,2008,9,2008-9,430914581,268850849
"Latin America",2008,9,2008-9,87579344,74763822
"North America",2008,9,2008-9,717038007,388920168
Other,2008,9,2008-9,147232884,51081220
Asia,2009,1,2009-1,354917979,25802523
Europe,2009,1,2009-1,291395690,236733737
"Latin America",2009,1,2009-1,71081792,65615577
"North America",2009,1,2009-1,455749641,273717558
Other,2009,1,2009-1,22092659,21289268
Asia,2009,10,2009-10,559385286,31871492
Europe,2009,10,2009-10,335239278,275490652
"Latin America",2009,10,2009-10,108194346,67278807
"North America",2009,10,2009-10,582595917,397064878
Other,2009,10,2009-10,25556456,23119537
Asia,2009,11,2009-11,618336383,33276256
Europe,2009,11,2009-11,319329329,291372983
"Latin America",2009,11,2009-11,93943830,65735014
"North America",2009,11,2009-11,494256579,392112978
Other,2009,11,2009-11,25015317,24837463
Asia,2009,12,2009-12,630554804,29237224
Europe,2009,12,2009-12,298331563,199051291
"Latin America",2009,12,2009-12,92419622,66437022
"North America",2009,12,2009-12,510156282,368458833
Other,2009,12,2009-12,31706855,20408933
Asia,2009,2,2009-2,422872979,27955068
Europe,2009,2,2009-2,275147632,262347470
"Latin America",2009,2,2009-2,68425022,66023669
"North America",2009,2,2009-2,471111617,293517565
Other,2009,2,2009-2,22505810,20083176
Asia,2009,3,2009-3,496026769,24864651
Europe,2009,3,2009-3,353533894,244518365
"Latin America",2009,3,2009-3,90917573,67993984
"North America",2009,3,2009-3,597255006,305003020
Other,2009,3,2009-3,40576001,13484367
Asia,2009,4,2009-4,513167550,28278768
Europe,2009,4,2009-4,327308229,282205614
"Latin America",2009,4,2009-4,74118212,66865397
"North America",2009,4,2009-4,528126115,332146982
Other,2009,4,2009-4,22062995,14728275
Asia,2009,5,2009-5,449478300,27289577
Europe,2009,5,2009-5,346044367,284246631
"Latin America",2009,5,2009-5,78566614,67993932
"North America",2009,5,2009-5,539010600,351912343
Other,2009,5,2009-5,25730294,16545649
Asia,2009,6,2009-6,531531105,24684134
Europe,2009,6,2009-6,353739374,240782680
"Latin America",2009,6,2009-6,89646483,68001173
"North America",2009,6,2009-6,579607865,342043162
Other,2009,6,2009-6,35891810,16107373
Asia,2009,7,2009-7,504016567,27709958
Europe,2009,7,2009-7,307846717,261576164
"Latin America",2009,7,2009-7,80472011,65588262
"North America",2009,7,2009-7,529692197,357549536
Other,2009,7,2009-7,20223166,17212923
Asia,2009,8,2009-8,556332466,30540922
Europe,2009,8,2009-8,272679414,266950946
"Latin America",2009,8,2009-8,78218947,67000110
"North America",2009,8,2009-8,513644787,363764685
Other,2009,8,2009-8,26801551,18872366
Asia,2009,9,2009-9,570790426,28014577
Europe,2009,9,2009-9,349618374,252710062
"Latin America",2009,9,2009-9,89506185,68211349
"North America",2009,9,2009-9,552254066,368067019
Other,2009,9,2009-9,34548538,17055871
Asia,2010,1,2010-1,663822791,32474738
Europe,2010,1,2010-1,315242534,251891387
"Latin America",2010,1,2010-1,100677317,64116155
"North America",2010,1,2010-1,537806036,327059817
Other,2010,1,2010-1,24935637,18894980
Asia,2010,10,2010-10,909936435,39239220
Europe,2010,10,2010-10,328559131,257565240
"Latin America",2010,10,2010-10,120988199,76809474
"North America",2010,10,2010-10,597524147,414486053
Other,2010,10,2010-10,17966200,14783670
Asia,2010,11,2010-11,995951475,39758080
Europe,2010,11,2010-11,384301409,284364557
"Latin America",2010,11,2010-11,123022019,78908674
"North America",2010,11,2010-11,667207643,416375091
Other,2010,11,2010-11,21568760,17254394
Asia,2010,12,2010-12,645888567,33177493
Europe,2010,12,2010-12,310570609,194705476
"Latin America",2010,12,2010-12,122931834,80469014
"North America",2010,12,2010-12,588173827,394294666
Other,2010,12,2010-12,33508750,15880894
Asia,2010,2,2010-2,591241039,32173333
Europe,2010,2,2010-2,338425131,267793386
"Latin America",2010,2,2010-2,100719693,68788058
"North America",2010,2,2010-2,515352747,338734239
Other,2010,2,2010-2,19776228,18847379
Asia,2010,3,2010-3,674696432,31186030
Europe,2010,3,2010-3,372126709,249322529
"Latin America",2010,3,2010-3,167169530,76736292
"North America",2010,3,2010-3,621439075,353203494
Other,2010,3,2010-3,34913538,14603437
Asia,2010,4,2010-4,686538485,34456561
Europe,2010,4,2010-4,431263986,300903666
"Latin America",2010,4,2010-4,138809178,79088970
"North America",2010,4,2010-4,639818560,391107263
Other,2010,4,2010-4,21771237,15574668
Asia,2010,5,2010-5,853581443,36430470
Europe,2010,5,2010-5,563183400,298968989
"Latin America",2010,5,2010-5,147219063,81747464
"North America",2010,5,2010-5,757949340,402489845
Other,2010,5,2010-5,26889214,16132547
Asia,2010,6,2010-6,749647922,34818124
Europe,2010,6,2010-6,405481342,247304314
"Latin America",2010,6,2010-6,118364184,81086600
"North America",2010,6,2010-6,595350686,376295485
Other,2010,6,2010-6,41203062,13728980
Asia,2010,7,2010-7,690346063,36561293
Europe,2010,7,2010-7,307725518,264941500
"Latin America",2010,7,2010-7,126821962,71096214
"North America",2010,7,2010-7,518677874,383065783
Other,2010,7,2010-7,21365944,14809597
Asia,2010,8,2010-8,779493133,38828901
Europe,2010,8,2010-8,290395685,272903004
"Latin America",2010,8,2010-8,129096956,79088039
"North America",2010,8,2010-8,556831673,397112213
Other,2010,8,2010-8,18775951,15682162
Asia,2010,9,2010-9,750184889,37587829
Europe,2010,9,2010-9,368974468,238745730
"Latin America",2010,9,2010-9,123063292,80413763
"North America",2010,9,2010-9,573633206,396562311
Other,2010,9,2010-9,40098471,14273338
Asia,2011,1,2011-1,730367047,37719286
Europe,2011,1,2011-1,350174874,224325516
"Latin America",2011,1,2011-1,119609335,67351784
"North America",2011,1,2011-1,640222546,348457105
Other,2011,1,2011-1,20885895,18055306
Asia,2011,10,2011-10,663748279,51718617
Europe,2011,10,2011-10,395133534,253123016
"Latin America",2011,10,2011-10,141384597,78060271
"North America",2011,10,2011-10,669579517,423398366
Other,2011,10,2011-10,22991283,15467093
Asia,2011,11,2011-11,808375752,53579816
Europe,2011,11,2011-11,414834047,263888775
"Latin America",2011,11,2011-11,148001993,82964823
"North America",2011,11,2011-11,637320316,423363385
Other,2011,11,2011-11,25874819,17364142
Asia,2011,12,2011-12,655297466,41836757
Europe,2011,12,2011-12,340353896,179668886
"Latin America",2011,12,2011-12,118103809,77371498
"North America",2011,12,2011-12,537165481,380330653
Other,2011,12,2011-12,35250544,14091620
Asia,2011,2,2011-2,703446783,40304554
Europe,2011,2,2011-2,357864488,247160528
"Latin America",2011,2,2011-2,139260833,73859556
"North America",2011,2,2011-2,651094753,378341643
Other,2011,2,2011-2,21653962,18794186
Asia,2011,3,2011-3,915834404,40175130
Europe,2011,3,2011-3,460621066,232113735
"Latin America",2011,3,2011-3,145800158,79301732
"North America",2011,3,2011-3,769466248,394646206
Other,2011,3,2011-3,47796831,15126929
Asia,2011,4,2011-4,804915691,38978139
Europe,2011,4,2011-4,356216947,257285466
"Latin America",2011,4,2011-4,131458313,75512539
"North America",2011,4,2011-4,596825775,405774333
Other,2011,4,2011-4,16769103,15757119
Asia,2011,5,2011-5,897206800,54060948
Europe,2011,5,2011-5,508174584,257701372
"Latin America",2011,5,2011-5,122931731,78794951
"North America",2011,5,2011-5,661467081,411285748
Other,2011,5,2011-5,22002993,17096757
Asia,2011,6,2011-6,860520202,53838380
Europe,2011,6,2011-6,442758280,221017544
"Latin America",2011,6,2011-6,115888293,83345518
"North America",2011,6,2011-6,724559942,410111588
Other,2011,6,2011-6,44900126,14966278
Asia,2011,7,2011-7,873619120,56750518
Europe,2011,7,2011-7,351988454,238794341
"Latin America",2011,7,2011-7,111265867,71978492
"North America",2011,7,2011-7,619900284,421589323
Other,2011,7,2011-7,18969555,16665233
Asia,2011,8,2011-8,1053248214,57726194
Europe,2011,8,2011-8,514364244,258856104
"Latin America",2011,8,2011-8,165528553,81447324
"North America",2011,8,2011-8,969483512,455508481
Other,2011,8,2011-8,30257945,16415540
Asia,2011,9,2011-9,859330262,53125216
Europe,2011,9,2011-9,489715095,246246540
"Latin America",2011,9,2011-9,143960376,80223646
"North America",2011,9,2011-9,708068657,431975188
Other,2011,9,2011-9,42502409,17025015
Asia,2012,1,2012-1,607257364,46390230
Europe,2012,1,2012-1,309644843,207074840
"Latin America",2012,1,2012-1,145494949,65259132
"North America",2012,1,2012-1,584470518,316315958
Other,2012,1,2012-1,22321328,14422958
Asia,2012,10,2012-10,569334846,54602152
Europe,2012,10,2012-10,353506150,229949842
"Latin America",2012,10,2012-10,146606143,71976640
"North America",2012,10,2012-10,603115236,403688049
Other,2012,10,2012-10,20634416,14658652
Asia,2012,11,2012-11,573869338,56885619
Europe,2012,11,2012-11,340521581,244074155
"Latin America",2012,11,2012-11,120221156,75725304
"North America",2012,11,2012-11,612278401,411674842
Other,2012,11,2012-11,20717350,17065982
Asia,2012,12,2012-12,570161391,49804262
Europe,2012,12,2012-12,293319931,164563171
"Latin America",2012,12,2012-12,115420322,72531488
"North America",2012,12,2012-12,545725528,377683635
Other,2012,12,2012-12,46168016,14754590
Asia,2012,2,2012-2,666613325,51919636
Europe,2012,2,2012-2,312708506,227333095
"Latin America",2012,2,2012-2,139669421,68365107
"North America",2012,2,2012-2,623644722,351992179
Other,2012,2,2012-2,23109549,18603035
Asia,2012,3,2012-3,660948306,46521410
Europe,2012,3,2012-3,397422725,212920134
"Latin America",2012,3,2012-3,173007829,58328958
"North America",2012,3,2012-3,673486544,358406364
Other,2012,3,2012-3,39119025,16206898
Asia,2012,4,2012-4,583312185,50332938
Europe,2012,4,2012-4,371364193,237855399
"Latin America",2012,4,2012-4,154197626,62888019
"North America",2012,4,2012-4,563381294,353641320
Other,2012,4,2012-4,17676499,16659113
Asia,2012,5,2012-5,782381590,57984186
Europe,2012,5,2012-5,466647815,246967167
"Latin America",2012,5,2012-5,183388099,68644583
"North America",2012,5,2012-5,689166091,379276217
Other,2012,5,2012-5,22533812,16210647
Asia,2012,6,2012-6,682263604,44708215
Europe,2012,6,2012-6,440971562,208061457
"Latin America",2012,6,2012-6,128928367,65785906
"North America",2012,6,2012-6,625270304,361913261
Other,2012,6,2012-6,39699768,15013143
Asia,2012,7,2012-7,653545665,50832284
Europe,2012,7,2012-7,351578377,218817383
"Latin America",2012,7,2012-7,135073662,60174022
"North America",2012,7,2012-7,542552488,356223644
Other,2012,7,2012-7,18999869,15546908
Asia,2012,8,2012-8,590985513,52378414
Europe,2012,8,2012-8,332921228,229742981
"Latin America",2012,8,2012-8,155562910,65197604
"North America",2012,8,2012-8,565781348,370179521
Other,2012,8,2012-8,17227427,16225659
Asia,2012,9,2012-9,585689053,48459644
Europe,2012,9,2012-9,380404251,214160211
"Latin America",2012,9,2012-9,133062659,70347642
"North America",2012,9,2012-9,575415343,362243331
Other,2012,9,2012-9,28628305,14740393
Asia,2013,1,2013-1,665632753,58260673
Europe,2013,1,2013-1,368039580,196524754
"Latin America",2013,1,2013-1,122911832,55069224
"North America",2013,1,2013-1,649348508,140559778
Other,2013,1,2013-1,34780582,20600583
Asia,2013,10,2013-10,485666741,56410249
Europe,2013,10,2013-10,333366828,220953576
"Latin America",2013,10,2013-10,131425271,65700400
"North America",2013,10,2013-10,703309262,155326862
Other,2013,10,2013-10,47090068,27135079
Asia,2013,11,2013-11,468509845,56144328
Europe,2013,11,2013-11,312862760,232131339
"Latin America",2013,11,2013-11,121952739,66037794
"North America",2013,11,2013-11,595930072,154351336
Other,2013,11,2013-11,22554294,31363240
Asia,2013,12,2013-12,480364295,47441064
Europe,2013,12,2013-12,320169926,163120167
"Latin America",2013,12,2013-12,88348276,60133049
"North America",2013,12,2013-12,597329441,141708277
Other,2013,12,2013-12,45092565,19176171
Asia,2013,2,2013-2,545076297,60952856
Europe,2013,2,2013-2,365356373,210681283
"Latin America",2013,2,2013-2,133185666,62618182
"North America",2013,2,2013-2,624869397,143771727
Other,2013,2,2013-2,18942648,20296673
Asia,2013,3,2013-3,653822074,55669209
Europe,2013,3,2013-3,397576767,195804881
"Latin America",2013,3,2013-3,159763334,67063856
"North America",2013,3,2013-3,614244853,141129310
Other,2013,3,2013-3,42834895,20296600
Asia,2013,4,2013-4,646491420,57559948
Europe,2013,4,2013-4,414327043,217113313
"Latin America",2013,4,2013-4,181941075,65503173
"North America",2013,4,2013-4,681822891,146624824
Other,2013,4,2013-4,21771837,20545027
Asia,2013,5,2013-5,739244987,62865307
Europe,2013,5,2013-5,416379636,222453009
"Latin America",2013,5,2013-5,176681663,74275793
"North America",2013,5,2013-5,760488265,154758703
Other,2013,5,2013-5,22975065,22197791
Asia,2013,6,2013-6,744569601,54587029
Europe,2013,6,2013-6,446579837,190325203
"Latin America",2013,6,2013-6,158740826,70973505
"North America",2013,6,2013-6,749253497,149059413
Other,2013,6,2013-6,41868997,17570369
Asia,2013,7,2013-7,675567221,54282066
Europe,2013,7,2013-7,338748133,201525539
"Latin America",2013,7,2013-7,126745266,60094249
"North America",2013,7,2013-7,603396149,150837970
Other,2013,7,2013-7,17752412,18170647
Asia,2013,8,2013-8,655603686,52898259
Europe,2013,8,2013-8,300762870,212825322
"Latin America",2013,8,2013-8,160107725,67146540
"North America",2013,8,2013-8,631740476,156616263
Other,2013,8,2013-8,21058199,21639684
Asia,2013,9,2013-9,541032415,49209076
Europe,2013,9,2013-9,362849591,203439227
"Latin America",2013,9,2013-9,121378851,66297257
"North America",2013,9,2013-9,620270056,150130183
Other,2013,9,2013-9,40683461,20787422
Asia,2014,1,2014-1,507372435,49764564
Europe,2014,1,2014-1,354476360,190040931
"Latin America",2014,1,2014-1,122047387,48335103
"North America",2014,1,2014-1,714188793,386972580
Other,2014,1,2014-1,34083733,26629131
Asia,2014,10,2014-10,644484738,64672210
Europe,2014,10,2014-10,435829465,192365453
"Latin America",2014,10,2014-10,172922400,58305933
"North America",2014,10,2014-10,945581319,477533203
Other,2014,10,2014-10,23163632,40187171
Asia,2014,11,2014-11,749621802,67454971
Europe,2014,11,2014-11,372925215,224981600
"Latin America",2014,11,2014-11,104544697,59640145
"North America",2014,11,2014-11,583941029,451081350
Other,2014,11,2014-11,24320142,39078783
Asia,2014,12,2014-12,888760823,57359876
Europe,2014,12,2014-12,421734873,165850639
"Latin America",2014,12,2014-12,103792784,61484680
"North America",2014,12,2014-12,700194512,433577280
Other,2014,12,2014-12,60890196,58974833
Asia,2014,2,2014-2,439015491,52558324
Europe,2014,2,2014-2,351388869,203171697
"Latin America",2014,2,2014-2,126215827,53431671
"North America",2014,2,2014-2,660650781,395180979
Other,2014,2,2014-2,24110609,30027087
Asia,2014,3,2014-3,587090184,51614222
Europe,2014,3,2014-3,424455835,189727458
"Latin America",2014,3,2014-3,110297631,55062115
"North America",2014,3,2014-3,691115511,388634064
Other,2014,3,2014-3,43906964,26678873
Asia,2014,4,2014-4,461994282,52070334
Europe,2014,4,2014-4,356390714,204318357
"Latin America",2014,4,2014-4,124047555,51672526
"North America",2014,4,2014-4,648620110,397290884
Other,2014,4,2014-4,22193705,28623346
Asia,2014,5,2014-5,502186131,56513084
Europe,2014,5,2014-5,346159718,207155611
"Latin America",2014,5,2014-5,114377617,53599367
"North America",2014,5,2014-5,623150341,411143364
Other,2014,5,2014-5,24286424,41941842
Asia,2014,6,2014-6,572815193,52523338
Europe,2014,6,2014-6,346595343,180277167
"Latin America",2014,6,2014-6,100235852,53953602
"North America",2014,6,2014-6,627674551,412497342
Other,2014,6,2014-6,72918997,38542652
Asia,2014,7,2014-7,639177087,59476660
Europe,2014,7,2014-7,313802433,192029504
"Latin America",2014,7,2014-7,113659393,56887454
"North America",2014,7,2014-7,661178592,441428699
Other,2014,7,2014-7,18992108,41358127
Asia,2014,8,2014-8,581566999,60828360
Europe,2014,8,2014-8,309219566,201431759
"Latin America",2014,8,2014-8,156933526,62191839
"North America",2014,8,2014-8,628714585,447744746
Other,2014,8,2014-8,30794836,46830890
Asia,2014,9,2014-9,683000198,58457413
Europe,2014,9,2014-9,397019153,187809676
"Latin America",2014,9,2014-9,167684819,70722967
"North America",2014,9,2014-9,730925752,453430514
Other,2014,9,2014-9,53636187,40318105
Asia,2015,1,2015-1,823253716,61425730
Europe,2015,1,2015-1,342040485,190425684
"Latin America",2015,1,2015-1,117951953,53479672
"North America",2015,1,2015-1,713426621,373345616
Other,2015,1,2015-1,20698735,30374630
Asia,2015,10,2015-10,669515671,61552570
Europe,2015,10,2015-10,408866047,221727998
"Latin America",2015,10,2015-10,119785485,67735441
"North America",2015,10,2015-10,690506331,464924364
Other,2015,10,2015-10,33263185,69030160
Asia,2015,11,2015-11,661538852,63035012
Europe,2015,11,2015-11,392242029,231437343
"Latin America",2015,11,2015-11,91639703,71189912
"North America",2015,11,2015-11,638689969,449136479
Other,2015,11,2015-11,23002030,70272410
Asia,2015,12,2015-12,702177064,59496372
Europe,2015,12,2015-12,436118795,168325977
"Latin America",2015,12,2015-12,99051584,66767105
"North America",2015,12,2015-12,674697893,428363133
Other,2015,12,2015-12,134351584,68103531
Asia,2015,2,2015-2,626299829,63041561
Europe,2015,2,2015-2,354707234,205279912
"Latin America",2015,2,2015-2,105974388,56744329
"North America",2015,2,2015-2,645938271,388655246
Other,2015,2,2015-2,28049645,36826562
Asia,2015,3,2015-3,912496800,62530538
Europe,2015,3,2015-3,417027346,190527953
"Latin America",2015,3,2015-3,122039037,62730339
"North America",2015,3,2015-3,681512808,390222656
Other,2015,3,2015-3,68835808,37485432
Asia,2015,4,2015-4,887669266,72907574
Europe,2015,4,2015-4,360889732,206255892
"Latin America",2015,4,2015-4,139616860,61471931
"North America",2015,4,2015-4,616438611,418841223
Other,2015,4,2015-4,34326488,49272849
Asia,2015,5,2015-5,815359272,68085827
Europe,2015,5,2015-5,357457020,210942193
"Latin America",2015,5,2015-5,127886897,67305307
"North America",2015,5,2015-5,622987329,427368914
Other,2015,5,2015-5,40075723,63934838
Asia,2015,6,2015-6,861146559,64693798
Europe,2015,6,2015-6,452658493,191564191
"Latin America",2015,6,2015-6,117900869,67210124
"North America",2015,6,2015-6,702269009,415980446
Other,2015,6,2015-6,72345855,64614976
Asia,2015,7,2015-7,950640162,63781968
Europe,2015,7,2015-7,388675788,206576446
"Latin America",2015,7,2015-7,138379216,64346433
"North America",2015,7,2015-7,702639074,442650805
Other,2015,7,2015-7,36390363,60669704
Asia,2015,8,2015-8,966551149,65303755
Europe,2015,8,2015-8,424036828,213041842
"Latin America",2015,8,2015-8,130475390,72508656
"North America",2015,8,2015-8,812381591,459927486
Other,2015,8,2015-8,53556383,64918319
Asia,2015,9,2015-9,820596897,61047343
Europe,2015,9,2015-9,461117590,206585108
"Latin America",2015,9,2015-9,140043596,73236499
"North America",2015,9,2015-9,697450893,447713970
Other,2015,9,2015-9,113207474,66031788
Asia,2016,1,2016-1,758966767,60760442
Europe,2016,1,2016-1,453076470,200327308
"Latin America",2016,1,2016-1,111213691,65275762
"North America",2016,1,2016-1,757598253,380291629
Other,2016,1,2016-1,32147228,75219642
Asia,2016,10,2016-10,587847297,67602905
Europe,2016,10,2016-10,375212122,223500028
"Latin America",2016,10,2016-10,153964739,68293059
"North America",2016,10,2016-10,632379099,427478327
Other,2016,10,2016-10,24080897,52432931
Asia,2016,11,2016-11,859825644,68900311
Europe,2016,11,2016-11,465140693,238137353
"Latin America",2016,11,2016-11,156386987,69142374
"North America",2016,11,2016-11,875534163,460483791
Other,2016,11,2016-11,28158862,53773015
Asia,2016,12,2016-12,728074504,60290378
Europe,2016,12,2016-12,422732153,177137786
"Latin America",2016,12,2016-12,131947166,65674049
"North America",2016,12,2016-12,696463845,435916112
Other,2016,12,2016-12,109920300,48790996
Asia,2016,2,2016-2,633783088,65087753
Europe,2016,2,2016-2,502605035,213861640
"Latin America",2016,2,2016-2,117766933,66868232
"North America",2016,2,2016-2,755305035,394150068
Other,2016,2,2016-2,30103619,77316468
Asia,2016,3,2016-3,979179010,64132328
Europe,2016,3,2016-3,480517930,194975037
"Latin America",2016,3,2016-3,167604707,76971544
"North America",2016,3,2016-3,711337147,400092318
Other,2016,3,2016-3,167546556,63265966
Asia,2016,4,2016-4,891958270,62148156
Europe,2016,4,2016-4,423099565,215550691
"Latin America",2016,4,2016-4,132297227,68275470
"North America",2016,4,2016-4,668884983,424889926
Other,2016,4,2016-4,28495114,58400509
Asia,2016,5,2016-5,797517940,65581350
Europe,2016,5,2016-5,372236553,220888562
"Latin America",2016,5,2016-5,120137786,68646500
"North America",2016,5,2016-5,668098544,423104605
Other,2016,5,2016-5,30560938,55924374
Asia,2016,6,2016-6,818636239,63883584
Europe,2016,6,2016-6,508465660,201873706
"Latin America",2016,6,2016-6,132491258,66988585
"North America",2016,6,2016-6,785025045,428109156
Other,2016,6,2016-6,81731648,51972617
Asia,2016,7,2016-7,764956432,63309945
Europe,2016,7,2016-7,361469823,210209438
"Latin America",2016,7,2016-7,124435726,65469773
"North America",2016,7,2016-7,629573205,426880004
Other,2016,7,2016-7,22707450,52632826
Asia,2016,8,2016-8,693538168,68274795
Europe,2016,8,2016-8,356867433,223183892
"Latin America",2016,8,2016-8,124550367,65503650
"North America",2016,8,2016-8,684858847,433568516
Other,2016,8,2016-8,24051959,51839182
Asia,2016,9,2016-9,666391528,64475253
Europe,2016,9,2016-9,458337053,208270265
"Latin America",2016,9,2016-9,142496790,69388834
"North America",2016,9,2016-9,724805509,436506530
Other,2016,9,2016-9,74519553,50960742
Asia,2017,1,2017-1,557855150,62686593
Europe,2017,1,2017-1,381477407,204365796
"Latin America",2017,1,2017-1,133684329,59523981
"North America",2017,1,2017-1,698738452,379397648
Other,2017,1,2017-1,29173773,48521754
Asia,2017,2,2017-2,588804497,70771867
Europe,2017,2,2017-2,362713456,225514536
"Latin America",2017,2,2017-2,145821184,63756349
"North America",2017,2,2017-2,725273736,414225355
Other,2017,2,2017-2,27848467,48635976
Asia,2017,3,2017-3,742639408,70615711
Europe,2017,3,2017-3,510045367,225077227
"Latin America",2017,3,2017-3,173312710,67306619
"North America",2017,3,2017-3,823499168,421568879
Other,2017,3,2017-3,56495073,42273395
Asia,2017,4,2017-4,675733544,71544349
Europe,2017,4,2017-4,386719454,241635288
"Latin America",2017,4,2017-4,143080703,66142125
"North America",2017,4,2017-4,668325229,430040605
Other,2017,4,2017-4,41498882,29075595
Asia,2017,5,2017-5,770896579,74724014
Europe,2017,5,2017-5,434276724,244302910
"Latin America",2017,5,2017-5,177922598,70511682
"North America",2017,5,2017-5,783642933,445493902
Other,2017,5,2017-5,62755141,50624756
Asia,2017,6,2017-6,765306699,72029509
Europe,2017,6,2017-6,500086731,214673407
"Latin America",2017,6,2017-6,154481105,73478705
"North America",2017,6,2017-6,799831385,437134969
Other,2017,6,2017-6,98581524,42984042
Asia,2017,7,2017-7,767372057,74805458
Europe,2017,7,2017-7,359627613,224907224
"Latin America",2017,7,2017-7,140770702,65521663
"North America",2017,7,2017-7,635971094,434946014
Other,2017,7,2017-7,23080890,44311602
